674297	63514	2417	25708
654705	83320	1751	26160
647459	90241	1434	26802
668244	69503	2007	26182
675015	62903	2155	25863
666880	71205	2085	25766
647971	89936	1618	26411
652085	85799	1603	26449
645536	92055	1324	27021
649692	88004	1591	26649
659606	78264	1829	26237
657856	80038	1997	26045
660413	77355	1903	26265
665472	72186	1876	26402
649934	87944	1664	26394
634260	103546	1277	26853
657138	80880	1995	25923
644270	93770	1717	26179
663367	74370	1856	26343
647361	90429	1468	26678
656577	81144	1783	26432
670041	67799	2117	25979
658029	79915	1682	26310
642891	94945	1273	26827
660054	77829	1975	26078
659324	78507	1638	26467
653982	84087	1640	26227
667026	70952	2071	25887
661264	76441	1828	26403
644092	93789	1378	26677
656121	81838	1713	26264
653169	84674	1685	26408
657704	80311	1684	26237
663489	74388	1759	26300
657136	80596	1847	26357
647170	90556	1616	26594
651700	86264	1420	26552
657160	80726	1629	26421
652407	85579	1510	26440
662231	75676	2072	25957
645956	91843	1423	26714
676104	61827	2378	25627
655824	81957	1576	26579
675664	62367	2156	25749
667325	70484	2050	26077
650053	87706	1559	26618
651826	85941	1534	26635
661371	76553	1823	26189
646333	91701	1474	26428
669382	68703	2005	25846
644450	93337	1537	26612
640769	97171	1859	26137
648696	88973	1441	26826
654531	83151	1671	26583
655293	82859	1819	25965
642074	95729	1227	26906
636607	101424	1145	26760
646377	91284	1391	26884
658283	79847	1748	26058
632838	105149	1187	26762
651975	85848	1494	26619
654131	83730	1402	26673
656784	81052	1684	26416
639611	98150	1252	26923
649281	88625	1560	26470
648091	89552	1409	26884
666514	71354	2017	26051
652949	85316	1679	25992
664440	73280	2005	26211
653942	84076	1719	26199
627407	110607	1200	26722
640596	97207	1426	26707
651020	86805	1508	26603
655722	82004	1588	26622
650840	87099	1636	26361
651509	86347	1465	26615
644370	93669	1274	26623
663562	74239	1706	26429
635673	102142	1206	26915
636585	101231	1204	26916
647546	90334	1405	26651
660202	77474	2034	26226
654346	83319	1495	26776
630467	107264	1146	27059
648132	89881	1558	26365
652653	85254	1439	26590
650308	87625	1458	26545
651830	86026	1373	26707
659941	78023	1824	26148
646975	90929	1517	26515
625622	112147	1067	27100
644805	93195	1544	26392
641281	96779	1314	26562
645623	92041	1484	26788
674190	63777	2283	25686
655397	82240	1667	26632
642954	95204	1236	26542
646303	91421	1429	26783
651000	86929	1596	26411
655556	82284	1665	26431
632905	104870	1136	27025
661546	76233	1720	26437
638049	99904	1314	26669
663750	73930	1799	26457
622919	114844	1068	27105
644276	93576	1264	26820
659561	78370	1774	26231
649641	88199	1382	26714
643863	93947	1350	26776
638693	99034	1355	26854
651391	86418	1385	26742
667643	70233	1879	26181
641550	96309	1237	26840
650051	87746	1366	26773
640026	97852	1251	26807
643086	94736	1284	26830
641201	96649	1188	26898
651417	86350	1549	26620
593609	144222	866	27239
622361	115321	951	27303
642006	95783	1312	26835
648563	89266	1354	26753
640174	97802	1390	26570
643215	94709	1344	26668
623872	114074	1033	26957
645046	92765	1310	26815
650991	86951	1416	26578
630389	107501	1081	26965
637512	100401	1217	26806
643088	94669	1393	26786
647193	90761	1351	26631
641315	96773	1144	26704
634185	103504	1154	27093
644400	93349	1455	26732
647181	90502	1295	26958
646760	91227	1393	26556
639460	98395	1271	26810
648434	89604	1397	26501
646148	91651	1406	26731
624924	112868	1119	27025
622710	115180	1365	26681
654785	83065	1725	26361
614829	122944	855	27308
650694	87242	1579	26421
647135	90757	1435	26609
616785	121134	922	27095
647513	90403	1572	26448
654429	83411	1581	26515
616619	121547	978	26792
627519	110226	936	27255
625595	112307	959	27075
629898	108064	1147	26827
635411	102549	1239	26737
646674	91107	1477	26678
630258	107499	1168	27011
630804	106948	1127	27057
627282	110441	893	27320
651528	86265	1431	26712
635158	102692	1209	26877
630451	107335	1074	27076
618427	119449	770	27290
644421	93308	1355	26852
635030	102957	1163	26786
633425	104520	1148	26843
648058	89716	1446	26716
617345	120491	895	27205
643457	94556	1298	26625
625985	111920	1142	26889
623191	114628	825	27292
506698	231148	400	27690
627312	110578	1013	27033
651751	86247	1393	26545
633601	104547	1086	26702
641775	95996	1520	26645
620703	117158	830	27245
643187	94525	1317	26907
639583	98179	1090	27084
637044	100861	1078	26953
630994	106889	1029	27024
633249	104746	1076	26865
621145	116707	1071	27013
636967	100611	1268	27090
630381	107444	1148	26963
628295	109481	1118	27042
645061	92860	1323	26692
615561	122448	1079	26848
650401	87732	1397	26406
643438	94485	1429	26584
625998	111850	1051	27037
642326	95599	1192	26819
631231	106744	1110	26851
649898	87978	1434	26626
638521	99211	1303	26901
634752	103357	1104	26723
637618	100077	1178	27063
623831	113826	1073	27206
633838	104099	1035	26964
